layer,label_idx,label,family,prec,recall,f1,auprc,mcc,bal_acc
0,0,behind alphabet_soup_1 basket_1,behind,0.5926482645531566,1.0,0.7442299442299443,0.5926482645531566,0.0,0.5
0,1,behind alphabet_soup_1 bbq_sauce_1,behind,0.0,0.0,0.0,0.3144886363636364,0.0,0.5
0,2,behind alphabet_soup_1 butter_1,behind,0.5122287289011368,1.0,0.6774487471526196,0.5122287289011368,0.0,0.5
0,3,behind alphabet_soup_1 chocolate_pudding_1,behind,0.46532156368221944,1.0,0.6351118760757315,0.46532156368221944,0.0,0.5
0,4,behind alphabet_soup_1 cream_cheese_1,behind,0.0,0.0,0.0,0.38351312188053455,0.0,0.5
0,5,behind alphabet_soup_1 ketchup_1,behind,0.0,0.0,0.0,0.22127113079525162,0.0,0.5
0,6,behind alphabet_soup_1 milk_1,behind,0.0,0.0,0.0,0.4553553350880745,0.0,0.5
0,7,behind alphabet_soup_1 orange_juice_1,behind,0.0,0.0,0.0,0.42675404780262144,0.0,0.5
0,8,behind alphabet_soup_1 salad_dressing_1,behind,0.5285542788543989,1.0,0.6915741052395378,0.5285542788543989,0.0,0.5
0,9,behind alphabet_soup_1 tomato_sauce_1,behind,0.7643496577145866,1.0,0.8664378450977466,0.7643496577145866,0.0,0.5
0,10,behind basket_1 alphabet_soup_1,behind,0.0,0.0,0.0,0.33861710849959004,0.0,0.5
0,11,behind basket_1 bbq_sauce_1,behind,0.6275494672754947,1.0,0.7711587019545497,0.6684603267485087,0.0,0.5
0,12,behind basket_1 butter_1,behind,0.0,0.0,0.0,0.36668569797316586,0.0,0.5
0,13,behind basket_1 chocolate_pudding_1,behind,0.0,0.0,0.0,0.3250539956803456,0.0,0.5
0,14,behind basket_1 cream_cheese_1,behind,0.0,0.0,0.0,0.4209801762114537,0.0,0.5
0,15,behind basket_1 ketchup_1,behind,0.0,0.0,0.0,0.30190431009503443,0.0,0.5
0,16,behind basket_1 milk_1,behind,0.0,0.0,0.0,0.3321356711698764,0.0,0.5
0,17,behind basket_1 orange_juice_1,behind,0.0,0.0,0.0,0.43573031768920806,0.0,0.5
0,18,behind basket_1 salad_dressing_1,behind,0.0,0.0,0.0,0.4267788603483909,0.0,0.5
0,19,behind basket_1 tomato_sauce_1,behind,0.0,0.0,0.0,0.7119895331751482,0.0,0.5
0,20,behind bbq_sauce_1 alphabet_soup_1,behind,0.6855113636363637,1.0,0.8134164840721388,0.6855113636363637,0.0,0.5
0,21,behind bbq_sauce_1 basket_1,behind,0.0,0.0,0.0,0.2945435742467191,0.0,0.5
0,22,behind bbq_sauce_1 butter_1,behind,0.0,0.0,0.0,0.28388050638144846,0.0,0.5
0,23,behind bbq_sauce_1 chocolate_pudding_1,behind,0.0,0.0,0.0,0.2724736323733221,0.0,0.5
0,24,behind bbq_sauce_1 cream_cheese_1,behind,0.4728553667633651,1.0,0.6420934158694429,0.4728553667633651,0.0,0.5
0,25,behind bbq_sauce_1 ketchup_1,behind,0.0,0.0,0.0,0.36581013561741615,0.0,0.5
0,26,behind bbq_sauce_1 milk_1,behind,0.0,0.0,0.0,0.4584717607973422,0.0,0.5
0,27,behind bbq_sauce_1 orange_juice_1,behind,0.4986769304787106,1.0,0.6654895666131622,0.4986769304787106,0.0,0.5
0,28,behind bbq_sauce_1 salad_dressing_1,behind,0.0,0.0,0.0,0.5278960340578086,0.0,0.5
0,29,behind bbq_sauce_1 tomato_sauce_1,behind,0.0,0.0,0.0,0.4584717607973422,0.0,0.5
0,30,behind butter_1 alphabet_soup_1,behind,0.0,0.0,0.0,0.4125559930100538,0.0,0.5
0,31,behind butter_1 basket_1,behind,0.5663716814159292,1.0,0.7231638418079096,0.5663716814159292,0.0,0.5
0,32,behind butter_1 bbq_sauce_1,behind,0.6832786885245902,1.0,0.8118426178418388,0.6999000596748389,0.0,0.5
0,33,behind butter_1 chocolate_pudding_1,behind,0.0,0.0,0.0,0.5135266877894223,0.0,0.5
0,34,behind butter_1 cream_cheese_1,behind,0.0,0.0,0.0,0.15341744222638481,0.0,0.5
0,35,behind butter_1 ketchup_1,behind,0.0,0.0,0.0,0.45249520153550865,0.0,0.5
0,36,behind butter_1 milk_1,behind,0.0,0.0,0.0,0.3394832264685019,0.0,0.5
0,37,behind butter_1 orange_juice_1,behind,0.5298747763864043,1.0,0.6927034611786717,0.5298747763864043,0.0,0.5
0,38,behind butter_1 salad_dressing_1,behind,0.0,0.0,0.0,0.6002543450614667,0.0,0.5
0,39,behind butter_1 tomato_sauce_1,behind,0.5528616196602342,1.0,0.7120552310143389,0.5528616196602342,0.0,0.5
0,40,behind chocolate_pudding_1 alphabet_soup_1,behind,0.0,0.0,0.0,0.5346784363177806,0.0,0.5
