layer,val_acc,val_f1
0,0.6392107011816369,0.6304409837731997
1,0.7055826808809792,0.6971442378884188
2,0.732610098325292,0.7249722029256092
3,0.7462851144560328,0.7392667456458957
4,0.7517214148826549,0.7447940463792851
5,0.7980960910640511,0.7923800757605177
6,0.83430117778484,0.8297034339386119
7,0.8877204133321777,0.8851815367987923
8,0.9204730399946071,0.9191342214919668
9,0.9431909012991265,0.9423577430418437
10,0.9682104026425524,0.9677997141030343
11,0.9757268463679349,0.9754274211038119
12,0.9784281435684088,0.9781730365524584
13,0.9774699294099519,0.9772078189598532
14,0.9782114619747879,0.9779574714836616
15,0.9796511907857356,0.9794160668682083
16,0.978943364246574,0.9786999063614751
17,0.9779755197950674,0.9777210804297887
18,0.9782885043191865,0.9780349062999617
19,0.9777540230549215,0.9774966498627106
20,0.9776143838056992,0.9773530540484253
21,0.9754186769903408,0.9751315583635627
22,0.9755342405069386,0.9752500242010901
23,0.9758087038588584,0.9755269857152244
24,0.9753127437667928,0.9750232885880914
25,0.9735504001386762,0.9732432494798143
26,0.9743834204874854,0.9740808084702703
27,0.9716676778474369,0.9713319573879265
28,0.9722888317491502,0.9719650380073835
29,0.9703579579926617,0.9700058320077487
30,0.9711091208505475,0.9707628242937727
31,0.9680177967815561,0.9676256062397669
32,0.9622781421238649,0.9618072531572835
