layer,pres_acc_va,truth_acc_va,pres_f1_va,truth_f1_va,status
0,0.6216723039046501,0.6586638931422684,0.5866589575032366,0.6495785306787327,completed
1,0.6534901022372549,0.6947823072256089,0.6180060285022173,0.6862841451205212,completed
2,0.6633533512804584,0.7265478288504319,0.626246929243817,0.7187928357623891,completed
3,0.6700662663077241,0.7318444900278316,0.6321925318866509,0.7239000871626877,completed
4,0.6771703366236396,0.7382534500524851,0.636587724372534,0.7307215382673121,completed
5,0.6939593351894036,0.7635474147478307,0.652132408069325,0.7567163172521965,completed
6,0.7026452835108872,0.8032338524061288,0.659389413573468,0.7977146937436175,completed
7,0.7626818680349432,0.8554685619083389,0.7228123453306369,0.8516399608976231,completed
8,0.8562811102674428,0.8972736640375967,0.8276087306515789,0.8951523812509483,completed
9,0.9036128176219292,0.9235499186240237,0.8830564583105545,0.922260056537137,completed
10,0.9577974122393257,0.9550939435087009,0.9480214621059692,0.9544747597756296,completed
11,0.9796119892930827,0.970136461252516,0.9746480216492018,0.9697509219311726,completed
12,0.9775009011911062,0.974932347191325,0.9719448748111168,0.974617331017811,completed
13,0.9712500862842548,0.972876279625189,0.964152513197154,0.972547339420058,completed
14,0.9795583013122876,0.9744508325388341,0.9744339914484207,0.9741436028825811,completed
15,0.9857189971085187,0.9763335548300734,0.9820989078603292,0.9760557670853239,completed
16,0.985626960570013,0.975620913144387,0.98196594315519,0.9753343463665044,completed
17,0.9878454246335795,0.9754571981625401,0.9847539197506368,0.9751684461332838,completed
18,0.9846356503531902,0.9756786949026859,0.9807316351779312,0.9753868314441463,completed
19,0.9878204980710675,0.975991679426805,0.9847126890456983,0.97571107565512,completed
20,0.9869672426620035,0.9759531582546057,0.9836293789665097,0.9756734273991042,completed
21,0.9865377388156431,0.9740222844981172,0.9830814792681252,0.9737113800089454,completed
22,0.9860775561231142,0.9744749082714587,0.9825274865424829,0.9741725334522744,completed
23,0.984984622228358,0.9751056924662217,0.981150605005163,0.9748144169047017,completed
24,0.9837517160979575,0.9739933936189679,0.9796063746323901,0.9736858138905327,completed
25,0.9813395918179517,0.9725825556871696,0.9765446500014461,0.9722588450401268,completed
26,0.9795793930190285,0.9731122218049095,0.9743262137794706,0.9727926995621357,completed
27,0.9797673009518112,0.9709357755756508,0.9745323775734318,0.9705876507641396,completed
28,0.9771270027534265,0.9710850451179229,0.9712338644140549,0.9707383668657849,completed
29,0.9760014725846161,0.9708442877916775,0.9698140510816873,0.9704958487802897,completed
30,0.9709164538321714,0.9706661273702559,0.9634578227916412,0.970305456256618,completed
31,0.9683145041914973,0.9667851192711794,0.9600697842439355,0.9663800461521558,completed
32,0.9528849619965793,0.9605543196679475,0.9408752731017623,0.9600477988130829,completed
